,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
47,IR16-3,5.049769402,BB  ,66848580.0,4127103.75,0.247990325,4.179683208,6.859931946,63.71589606,None,None,0.0,None,None,None,None,0.0,0.894,78429,87728.18792,69.247001125,0.879,24375,27730.37543,13.029006720249999,1,1,2,IR16,47,2.195782260651369,3.4438365769383688
48,IR17-1,5.000020504,VB  ,3405646.0,413877.7813,0.125510648,4.883252144,5.571593761,2.306262919,None,None,0.0,None,None,None,None,0.0,0.833,6026,7234.093637,2.85834642125,0.914,11339,12405.9081,2.2626769165,1,1,2,IR17,48,1.4851516484451481,2.6045066434192465
49,IR17-2,5.079086304,VB  ,2905872.0,271178.5938,0.163381651,4.917133331,5.518615723,1.911535889,None,None,0.0,None,None,None,None,0.0,0.782,5966,7629.15601,3.5227122502499997,0.813,10690,13148.83149,2.4602235064999998,1,1,2,IR17,49,1.4550110085341605,2.79547266289414
50,IR17-3,5.074420929,VB  ,2239546.5,238090.2188,0.142205089,4.927120209,5.531342506,1.38431683,None,None,0.0,None,None,None,None,0.0,0.822,6011,7312.652068,3.0416030167500003,0.662,7274,10987.91541,2.01774119525,1,1,2,IR17,50,1.4894567922511661,2.4240875150751036
51,IR18-1,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.85,3159,3716.470588,0.5301797494999999,0.854,12527,14668.61827,2.72954961275,1,1,2,IR18,51,0.5155466831151814,3.1413233844257764
52,IR18-2,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.782,2827,3615.089514,0.5176604560000001,0.875,12153,13889.14286,2.6293693525,1,1,2,IR18,52,0.4755025659804693,2.948093452341054
53,IR18-3,None,None,0.0,None,None,None,None,0.0,None,None,0.0,None,None,None,None,0.0,0.784,2660,3392.857143,0.4985651905,0.869,12075,13895.28193,2.63253555725,1,1,2,IR18,53,0.46376608859807245,2.9469693849262057
54,IR19-1,5.095767975,VB  ,54398548.0,3997611,0.203022256,4.908947468,7.334179401,47.8693665,None,None,0.0,None,None,None,None,0.0,0.697,57377,82319.94261,64.972061925,0.798,12519,15687.96992,3.0583768649999996,1,1,2,IR19,54,2.0655493499799986,3.3962846397517232
55,IR19-2,5.095409393,VB  ,46721744.0,4314929,0.158790842,4.913003445,7.522442341,39.43693444,None,None,0.0,None,None,None,None,0.0,0.78,63794,81787.17949,64.557254075,0.795,12191,15334.59119,3.11258745425,1,1,2,IR19,55,2.0826717408543756,3.3929579197806583
56,IR19-3,5.090084076,VB  ,42404368.0,3925126.5,0.158498645,4.914521217,7.546430588,35.06477401,None,None,0.0,None,None,None,None,0.0,0.664,50398,75900.60241,59.95045579999999,0.717,10673,14885.63459,2.89792976325,1,1,2,IR19,56,1.9495993761094508,3.24149029746996
57,IR20-1,5.093670845,VB  ,1934928.375,233912.875,0.123066716,4.955751419,5.660745144,1.142905008,4.264431,BB  ,346422.8438,67384.21875,0.080638438,4.150166512,4.415766716,1.768050161,0.814,3435,4219.90172,0.6184450575000001,0.836,12361,14785.88517,2.8732408695,1,1,2,IR20,57,0.574861243624072,3.1598088036318437
58,IR20-2,5.096338749,VB  ,1938954.375,240321.4531,0.120688654,4.958330154,5.663767815,1.146097298,4.264012814,BB  ,344823.4688,66143.21875,0.078526668,4.140649796,4.425933361,1.767215449,0.755,3149,4170.860927,0.59411806775,0.84,12411,14775.0,2.9422043170000003,1,1,2,IR20,58,0.5658673761511006,3.157508467291011
59,IR20-3,5.082076073,VB  ,2327940.25,223272.5469,0.14525193,4.943963528,7.111166477,1.454322655,4.247853279,BB  ,340755.5938,72023.66406,0.072906889,4.150216579,4.466966629,1.765092961,0.812,3037,3740.147783,0.5308849022500001,0.85,12005,14123.52941,2.6375644512500003,1,1,2,IR20,59,0.4978728847554541,3.006307109828929
